mod_razona_cuantitat_punt,estu_genero,fami_estratovivienda,fami_tieneinternet,fami_tienecomputador,estu_pagomatricula,estu_metodo_prgm,inst_caracter_academico,inst_origen,fami_educacionpadre,fami_ocupacionpadre,fami_educacionmadre,fami_ocupacionmadre,estu_tituloobtenidobachiller,estu_horassemanatrabaja,estu_valormatriculauniversidad,fami_tieneautomovil,fami_tienemotocicleta,edad,desempeno_dicotomico
94,M,Estrato 1,No,No,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Primaria completa,Empleado obrero u operario,Técnica o tecnológica completa,Hogar,Bachiller académico,Menos de 10 horas,Entre 4 millones y menos de 5.5 millones,No,No,21,1
155,F,Estrato 2,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado obrero u operario,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Bachiller académico,Entre 21 y 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,21,0
135,F,Estrato 2,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica incompleta,Pequeño empresario,Postgrado,Empleado de nivel auxiliar o administrativo,Bachiller académico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,Si,Si,22,1
136,M,Estrato 3,Si,No,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Otra actividad u ocupación,Educación profesional completa,Otra actividad u ocupación,Bachiller académico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,21,1
94,F,Estrato 3,Si,Si,Familiares,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Empleado obrero u operario,Secundaria (Bachillerato) completa,Empleado obrero u operario,Bachiller académico,Menos de 10 horas,Entre 1 millón y menos de 2.5 millones,No,No,32,1
112,F,Estrato 1,Si,No,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Empresario,Primaria incompleta,Hogar,Bachiller técnico,Menos de 10 horas,Entre 2.5 millones y menos de 4 millones,No,Si,21,1
166,F,Estrato 2,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Educación profesional incompleta,Empleado obrero u operario,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,0,Entre 2.5 millones y menos de 4 millones,Si,No,24,0
126,M,,Si,Si,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - FUNDACIÓN,Técnica o tecnológica completa,Pensionado,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 21 y 30 horas,Entre 1 millón y menos de 2.5 millones,No,No,24,1
174,M,Estrato 1,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Pensionado,Técnica o tecnológica incompleta,Hogar,Bachiller técnico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,Si,24,0
151,M,Estrato 2,Si,Si,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Primaria incompleta,Trabajador por cuenta propia,Técnica o tecnológica completa,Empleado de nivel auxiliar o administrativo,Bachiller técnico,Entre 21 y 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,24,0
141,F,Estrato 2,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Empresario,Técnica o tecnológica completa,Empleado con cargo como director o gerente general,Bachiller académico,0,Entre 5.5 millones y menos de 7 millones,No,No,22,1
148,F,Estrato 3,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Educación profesional completa,Hogar,Bachiller académico,Entre 21 y 30 horas,Entre 2.5 millones y menos de 4 millones,No,Si,21,0
94,F,Estrato 1,Si,No,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica incompleta,Pensionado,Técnica o tecnológica incompleta,Hogar,Bachiller académico,Menos de 10 horas,Más de 7 millones,No,No,23,1
91,M,Estrato 1,No,No,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) incompleta,Hogar,Primaria incompleta,Hogar,Bachiller académico,Entre 11 y 20 horas,Entre 2.5 millones y menos de 4 millones,No,No,27,1
95,F,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) incompleta,Trabajador por cuenta propia,Postgrado,Empleado de nivel técnico o profesional,Bachiller académico,Más de 30 horas,No pagó matrícula,No,No,33,1
169,M,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Educación profesional completa,Pensionado,Técnica o tecnológica incompleta,Hogar,Bachiller académico,Entre 11 y 20 horas,Entre 500 mil y menos de 1 millón,No,No,22,0
136,F,Estrato 1,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Educación profesional completa,Profesional independiente,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Más de 30 horas,Menos de 500 mil,No,No,31,1
166,F,Estrato 2,Si,No,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Primaria completa,Trabajador por cuenta propia,Primaria incompleta,Trabajador por cuenta propia,Bachiller técnico,Entre 21 y 30 horas,No pagó matrícula,No,No,21,0
113,F,Estrato 1,Si,Si, Propios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Primaria incompleta,Trabajador por cuenta propia,Primaria incompleta,Hogar,Bachiller académico,Más de 30 horas,Menos de 500 mil,No,No,35,1
161,F,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Técnica o tecnológica completa,Pensionado,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Bachiller académico,Entre 11 y 20 horas,No pagó matrícula,Si,No,24,0
146,F,Estrato 2,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 21 y 30 horas,Entre 500 mil y menos de 1 millón,No,No,22,0
174,F,Estrato 1,No,Si, Propios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Técnica o tecnológica completa,Hogar,Bachiller académico,Más de 30 horas,No pagó matrícula,No,No,22,0
178,M,Estrato 3,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Postgrado,Empleado de nivel técnico o profesional,Técnica o tecnológica completa,Hogar,Bachiller académico,Más de 30 horas,No pagó matrícula,Si,No,26,0
133,F,Estrato 3,Si,No,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) completa,Pensionado,Educación profesional incompleta,Trabajador por cuenta propia,Bachiller académico,Más de 30 horas,No pagó matrícula,No,No,24,1
162,F,Estrato 1,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Técnica o tecnológica completa,Pequeño empresario,Bachiller técnico,Más de 30 horas,No pagó matrícula,No,No,24,0
