pliegue,recall_1,auc,modelo
1,0.55,0.5142197125256673,Dummy (baseline)
2,0.5482142857142858,0.5123001613376357,Dummy (baseline)
3,0.5438282647584973,0.5080537627693924,Dummy (baseline)
4,0.6028622540250447,0.5714516608934259,Dummy (baseline)
5,0.5313059033989267,0.4946057237733853,Dummy (baseline)
6,0.5232142857142857,0.48588697824808935,Dummy (baseline)
7,0.5375,0.5012602880658437,Dummy (baseline)
8,0.5446428571428571,0.5089469429747208,Dummy (baseline)
9,0.525,0.4878086419753086,Dummy (baseline)
10,0.5410714285714285,0.5051036155202822,Dummy (baseline)
