pliegue,recall_1,auc,modelo
1,0.6821428571428572,0.700143003813435,Logistica
2,0.7357142857142858,0.7213002346729246,Logistica
3,0.7030411449016101,0.6942765939470967,Logistica
4,0.7245080500894454,0.7105016658524131,Logistica
5,0.7262969588550984,0.7265467448839781,Logistica
6,0.7214285714285714,0.6990887713109935,Logistica
7,0.7214285714285714,0.7113683127572017,Logistica
8,0.7107142857142857,0.7254445914168136,Logistica
9,0.7196428571428571,0.720298721340388,Logistica
10,0.7071428571428572,0.6950654027042915,Logistica
