pliegue,recall_1,auc,modelo
1,0.7678571428571429,0.7014850396010561,Random Forest
2,0.8089285714285714,0.7140437078322088,Random Forest
3,0.774597495527728,0.6904416437390029,Random Forest
4,0.7978533094812165,0.7259186064878247,Random Forest
5,0.813953488372093,0.7303302685567142,Random Forest
6,0.7803571428571429,0.7067901234567902,Random Forest
7,0.7839285714285714,0.7101521164021164,Random Forest
8,0.7928571428571428,0.7368422986478542,Random Forest
9,0.7803571428571429,0.7214267342739564,Random Forest
10,0.7964285714285714,0.700701793062904,Random Forest
