FAMI_EDUCACIONMADRE,N,%,Media,Desv_Est
Educación profesional completa,2713,17.3,144.17,32.73
Educación profesional incompleta,667,4.3,143.03,32.65
Ninguno,308,2.0,125.54,28.15
No Aplica,56,0.4,131.7,28.34
No sabe,90,0.6,144.34,37.33
Postgrado,1100,7.0,151.21,33.06
Primaria completa,709,4.5,130.88,28.0
Primaria incompleta,1394,8.9,128.87,27.7
Secundaria (Bachillerato) completa,3189,20.3,136.83,29.96
Secundaria (Bachillerato) incompleta,1359,8.7,134.43,28.73
Técnica o tecnológica completa,2658,17.0,139.91,31.15
Técnica o tecnológica incompleta,996,6.4,137.37,28.95
