FAMI_OCUPACIONMADRE,N,%,Media,Desv_Est
Empleado con cargo como director o gerente general,237,1.5,149.3,33.2
Empleado de nivel auxiliar o administrativo,855,5.5,141.04,32.66
Empleado de nivel directivo,306,2.0,143.76,31.39
Empleado de nivel técnico o profesional,2034,13.0,144.14,32.45
Empleado obrero u operario,432,2.8,140.51,30.52
Empresario,194,1.2,141.2,35.02
Hogar,6621,42.2,136.37,30.21
Otra actividad u ocupación,1271,8.1,135.57,30.9
Pensionado,603,3.8,140.73,33.6
Pequeño empresario,485,3.1,140.79,30.11
Profesional Independiente,658,4.2,143.67,32.05
Trabajador por cuenta propia,1852,11.8,135.68,30.99
